PERSON,COUNTRY,SITE,SAMPLE,WTD,pH,AMP WRI,ARC ARE,ARC DEN,ARC DIS,ARC GIB,ARC HEM,ARC MIT,ARC VUL,ARC FLA,ARG DEN,ASS MUS,ASS SEM,BUL IND,CAM MIN,CEN ACU,CEN AER,CEN ECO,COR TRI,CRY SAC,CRY OVI,CYC ARC,CYP AMP,DIF ACU,DIF GRA,DIF LAB,DIF LEI,DIF LUC,DIF OBL,DIF URC,EUG CIL,EUG ROT,HEL PET,HEL ROS,HEL SYL,HYA ELE,HYA PAP,HYA SUB,LAG VAS,LES SPI,LES EPI,MIC PAT,NEB CAR,NEB COL,NEB FLA,NEB MIL,NEB MIN,NEB PEN,NEB TIN,PAD LAG,PAR IRR,PSY GRI,PLA SPI,PLAGIO,PON ELI,PSE GRA,PYX OPE,QUA SYM,SPHENO,TRA DEN,TRI ARC
Mallon,Sweden,North,N5_14,17,3.9,1.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0.0,1.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,2.2,0.0,1.6,24.7,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mallon,Sweden,North,N5_13,10,3.9,4.2,0.0,0.0,0.9,0.0,0.0,0.0,0.0,23.1,0.0,2.3,4.2,0.0,0.0,0.0,0.0,0.0,3.7,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.9,0.0,4.6,0.0,0.0,0.0,0.0,24.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,10.6,2.3,0.0,9.3,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Mallon,Sweden,North,N5_12,1,4.1,0.4,0.0,0.0,2.6,0.0,0.0,0.0,0.0,56.6,0.0,1.3,3.4,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,2.1,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,2.1,0.0,0.9,0.0,0.4,8.9,8.1,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mallon,Sweden,North,N5_11,30,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.3,0.0,3.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,18.3,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,3.2,0.0,0.0,24.2,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Mallon,Sweden,North,N5_10,15,4.1,1.6,2.6,0.0,0.0,0.0,0.0,0.0,0.0,25.9,0.0,6.2,0.5,0.0,0.0,0.0,0.0,0.0,0.5,12.4,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.5,2.1,0.0,0.5,0.0,0.5,0.0,1.0,28.5,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,1.6,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mallon,Sweden,North,N5_9,2,3.9,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,42.7,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,6.3,0.0,0.0,0.0,0.0,2.6,3.6,7.3,0.0,1.6,0.5,3.1,0.0,0.0,11.5,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mallon,Sweden,North,N5_8,0,4.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,5.8,0.0,2.9,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.8,0.0,0.0,0.0,0.0,1.0,1.0,32.9,0.0,0.0,0.0,1.9,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mallon,Sweden,North,N5_7,1,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,9.6,0.0,0.0,0.0,0.0,5.8,1.7,0.8,0.0,2.9,0.0,2.5,0.0,0.0,13.8,11.7,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mallon,Sweden,North,N5_6,30,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9,0.0,6.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,2.5,46.7,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Mallon,Sweden,North,N5_5,13,3.5,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,23.6,2.1,0.0,0.0,0.0,0.0,0.0,4.3,10.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,12.9,0.0,0.0,0.0,5.7,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
