PERSON,COUNTRY,SITE,SAMPLE,Lat,Long,WTD,pH,AMP WRI,ARC ARE,ARC DIS,ARC GIB,ARC HEM,ARC VUL,ARC FLA,ARG DEN,ASS MUS,ASS SEM,BUL IND,CEN ACU,CEN AER,CEN ECO,COR TRI,CRY SAC,CRY OVI,CYC ARC,DIF ACU,DIF GRA,DIF LAB,DIF LEI,DIF LUC,DIF OBL,EUG CIL,EUG ROT,HEL PET,HEL ROS,HEL SYL,HYA ELE,HYA PAP,HYA SUB,NEB CAR,NEB COL,NEB FLA,NEB MIL,NEB MIN,NEB PEN,NEB TIN,PAD LAG,PAR IRR,PSY GRI,PLA SPI,QUA SYM,SPHENO,TRA DEN,TRI ARC
Turner,England,Fleet Moss,FM144,54.2464,-2.2094,28,4.4,0,0,0,0,0,0,0,0,11.8,0,0,3.5,0,0,11.2,0,0.6,24.1,0,0,0,0,0,0,8.2,0,4.1,5.3,3.5,0,0,0,0,0,0,1.8,0,0,20.6,0,0,0,0,0,0,0,1.8
Swindles,N. Ireland,Slieveanorra,SL23,55.0728,-6.2108,28,3.9,0,0,0,0,0,0,0,0,6.8,1.7,0,0.6,12.5,0,10.8,0,0,24.2,0,0,0,0,0,0,9.1,0,0,0,0,0,0,0,0,0,33.8,0,0,0,0.6,0,0,0,0,0,0,0,0
Payne,Scotland,Moss of Achnacree,MAC9,56.4517,-5.393,28,5.1,0,0,0,0,0,0,0,0,23.5,1,1,0,24.5,0,0,0,0,18.4,0,0,0,0,5.1,0,6.1,0,4.1,0,0,0,0,2,0,0,0,1,0,1,12.2,0,0,0,0,0,0,0,0
Payne,Scotland,Moss of Achnacree,MAC19,56.4517,-5.393,28,5,0,0,0,0,0,0,0,0,9.6,7.4,0,0,2.1,0,0,0,0,9.6,0,0,0,0,8.5,0,9.6,0,16,0,0,0,0,12.8,0,0,0,9.6,0,0,11.7,0,0,0,0,0,0,0,3.2
Lamentowicz,Poland,Bagienny,BAG,53.214,16.7311,28,3.6,0,4.6,0,0,0,0,0,0,7.9,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,23,0,0.7,0,0,11.8,26.3,0,0,0,0,3.9,0,0,18.4,0,0,0,0,0,0,0,0
Mallon,Sweden,North,N3_9,59.8542,12.3031,28,3.8,0,0,0,0,0,0,7.4,0,18.3,1.5,0,0,0,0,2,8.9,0,0,0,0,0,0,0,0,5.4,0,0,0,5,32.2,5.9,0,0,0,0,11.9,0,0,0.5,1,0,0,0,0,0,0,0
Mallon,Sweden,South,S7_14,57.1725,12.7125,28,3.5,0,0,10.6,0,0.7,0,0,0,17.9,0.7,0,0,0,0,6.6,0,0,47.7,0,0,0,0,0,0,3.3,2.6,0,0,0,0,0,0,0,0,0,0.7,4,0,4.6,0,0,0,0,0,0,0,0
Swindles/Turner,Sweden,Stordalen,S19,68.3563,19.0477,29,3.5,0,0,0,0,0,0,0,0,11.7,0.6,0,0,0,0,83.1,1.3,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,1.3
Mitchell,Switzerland,La Chaux-des-Breuleux,CDB-8,47.2268,7.0498,29,4.6,0,0,0,0,0,0,0,0,13.5,0,5.7,0,0,0,42.7,0,0,0,0,0,0,0,0,0,6.8,1.6,0,0,0,0,0,0,0,0,0,0,0,0,29.7,0,0,0,0,0,0,0,0
Lamentowicz,Switzerland,Mauntschas,35,46.4575,9.8561,29,4.2,0,0,0,0,0,0,0,0,82.4,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0
Swindles/Turner,Sweden,Eagle,E5,68.3657,19.5831,29,5.3,0,4.7,0,0,0,0,1.9,0,40.6,0,0,0,0,0,26.4,0,16,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,1.9,0,2.8,0,0,3.8,0,0,0,0,0,0,0,0
Mitchell,Switzerland,La Chaux-des-Breuleux,CDB-3,47.2268,7.0498,29,4.8,0,0,0,0,0,0,0,0,16.4,0,5.7,0,0,0,25.4,0,0,0,0,0,0,0,0,0,5.7,1.6,0,0,0,0,4.1,0,0,0,0,0.8,0,0,40.2,0,0,0,0,0,0,0,0
Lamentowicz,Switzerland,Mauntschas,6,46.4575,9.8561,29,3.9,0,0,0,0,0,0,1.7,0,64.6,20.8,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0.6,0,0,0,0,0,0,0,0,0,0.6,6.2,0,0,0,0,0,0,0,1.1
Mitchell,Switzerland,Les Pontins,S 35    ,47.1275,6.9878,29,4.2,0,0.4,0,0,0,0,0,0,17.1,3.3,0.4,0,0,2.8,11,0,0,0.4,0,0,0,0,0,0,10.6,7.3,3.7,0,0,4.5,0,0.8,0,0,0,13.8,0,0,14.6,0,0,0,0,0,0,0,9.3
Swindles,N. Ireland,Moninea,MO17,54.1417,-7.5425,29,3.8,0,0,0,0,0,0,0,0,25.1,0.5,0,0,0,0,10.4,0,0,0.9,0,0,0,0,0,0,3.8,2.4,0,0,1.4,0,0,0,0,0,12.8,32.2,0,0,10.4,0,0,0,0,0,0,0,0
Charman,Denmark,Lille Vildmose,DK 17,56.8526,10.1735,29,NA,0,0,0,0,0,0,0,0,25.3,32.7,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7,3.3,0,6,0,0,0,0,0,0,0,1.3,0,0,17.3,0,0,0,0,0,0,0,0
Swindles,N. Ireland,Moninea,MO28,54.1417,-7.5425,29,3.6,0,0,0,0,0,0,0,0,14.5,2.3,7.6,0,0,0,4.7,0,0,11.6,0,0,0,0,0,0,13.4,0.6,0.6,4.7,9.3,0,0,0,0,0,11,12.2,0,0,6.9,0,0,0,0,0,0,0,0.6
Swindles/Turner,Sweden,Marooned,M5,67.9566,19.9865,29,3.2,0,25.7,0,0,0,0,0,0,17.4,0,4.6,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,24.8,0,0,0,0,11.9,0,0,1.8,0,0,0,0,0,0,0,9.2
Payne,Scotland,Moss of Achnacree,MAC48,56.4517,-5.393,29,5.4,0,0,0,0,0,0,0,0,21.5,1.1,0,0,2.2,0,0,0,0,10.8,0,0,0,0,4.3,0,10.8,0,16.1,4.3,0,0,0,4.3,0,0,0,8.6,0,0,15.1,0,0,0,0,0,0,0,1.1
Payne,Scotland,Moss of Achnacree,MAC13,56.4517,-5.393,29,5,0,0,0,0,0,0,0,0,18.8,0,0,0,0,0,0,0,0,5.2,0,0,0,0,16.7,0,5.2,0,12.5,2.1,0,0,0,11.5,0,0,0,6.3,0,0,17.7,0,0,0,1,0,0,0,3.1
Lamentowicz,Poland,Okoniowe,OKO,53.1884,16.7997,29,3.7,0,0,1.3,0,0,0,0,0,4.4,1.3,0,0.6,0,0,2.5,0,0,0,0,0,0,0,0,0,11.9,0,0.6,0,0,13.8,40,0,0,0,0,8.1,0,0,15.6,0,0,0,0,0,0,0,0
Lamentowicz,Poland,Bagienny,BAG,53.214,16.7311,29,3.4,0,4.8,0,0,0,0,0,0,4.8,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,21.4,42.9,0,0,0,0,7.7,0,0,12.5,0,0,0,0,0,0,0,0
Charman,England,Butterburn Flow,GB 16,55.0759,-2.5124,29,4,2,0,0,0,0,0,1.3,0,6,2.7,1.3,0,0,0,1.3,4.7,0,7.3,0,0,0,0,6,0,12.7,0.7,0,1.3,16,9.3,0,2.7,0.7,0,8.7,6.7,0,0,4,0,0,4.7,0,0,0,0,0
Lamentowicz,Poland,Jelenia Wyspa,JEL04,53.6077,17.956,29,3.9,0,13.5,0,0,0,0,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,78.2,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0
Payne,Turkey,Surmene Agacbasi Yaylasi,12,40.1,40.5666,29,5.4,0,0,0,0,0,0,0,0,5.1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,1.9,0,0,84.1,0,0,0,0,0,0,0,0,0.6,0,0,0,0,3.2,0,0
Lamentowicz,Poland,Linje,LIN33,53.1875,18.3096,30,NA,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0,75.9,0,3.8,0,0,0,0,0,0,0,4.4,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitchell,Switzerland,La Chaux-des-Breuleux,CDB-15,47.2268,7.0498,30,NA,0,0,0,0,0,0,0,0,5.6,8.1,9.4,0,0,0,38.8,0,0,0,0,0,0,0,0,0,2.5,1.9,0,0,0,0,0.6,0,0,0,0,0,0,0,32.5,0,0,0,0.6,0,0,0,0
Mazei,Russia,Karelia-40,k4-3,66.5251,32.9386,30,4.2,0,16.5,0,0,0,0,0.3,0,70.4,4.1,2.4,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,5.5
Lamentowicz,Switzerland,Mauntschas,9,46.4575,9.8561,30,4.4,0,5.4,0,0,0,0,0,0,41,16.1,3.9,0,0,0,3.9,0,0,0,0,0,0,0,0,0,2.9,0,0.5,0,0,0,2.4,0,0,0,0,3.9,0,0,17.6,0,0,0,0,0,0,0,2.4
Swindles,N. Ireland,Moninea,MO29,54.1417,-7.5425,30,3.7,0,0,0,0,0,0,0,0,34.2,1.3,1.9,0,0,0,12.9,0,0,1.3,0,0,0,0,0,0,3.9,0,0,0,5.8,0,0,0,0,0.6,5.8,9,0,0,22.6,0,0,0,0,0,0,0,0.6
Lamentowicz,Poland,Rybie Oko,RO14,53.814,17.5387,30,NA,0,19.2,0,0,0,0,0,0,28.8,0,1.4,0,0,0,2.7,0,0,0,0,0,0,0,0,0,9.1,0.9,1.4,0,0,0,0,0,0,0,0,10.5,0,0,24.7,0,0,0,0,0,0,0,0.5
Turner,England,Oxnop Moor,OM160,54.3456,-2.0961,30,3.6,0,0,0,0,0,0,0,0,7.1,0.6,7.7,0,0.6,0,8.9,0,0,0.6,0,0,0,0,0,0,15.4,0,1.8,0,4.1,0,0,0,0,1.2,0,20.7,0,0,27.8,0,0,0,0,0,0,0,3.6
Turner,England,Malham Tarn Moss,TM79,54.2781,-2.0713,30,4.5,0,0,0,0,0,0,0,0,2.4,1.2,0,0,0,0,1.8,0,0,2.4,0,0,0,0,0,0,9.5,0.6,0,0,10.1,0,0,0,0,0,1.8,4.7,0,0,62.7,0,0,0,0,0,0,0,3
