PERSON,COUNTRY,SITE,SAMPLE,Lat,Long,WTD,pH,AMP WRI,ARC ARE,ARC DIS,ARC GIB,ARC HEM,ARC VUL,ARC FLA,ARG DEN,ASS MUS,ASS SEM,BUL IND,CEN ACU,CEN AER,CEN ECO,COR TRI,CRY SAC,CRY OVI,CYC ARC,DIF ACU,DIF GRA,DIF LAB,DIF LEI,DIF LUC,DIF OBL,EUG CIL,EUG ROT,HEL PET,HEL ROS,HEL SYL,HYA ELE,HYA PAP,HYA SUB,NEB CAR,NEB COL,NEB FLA,NEB MIL,NEB MIN,NEB PEN,NEB TIN,PAD LAG,PAR IRR,PSY GRI,PLA SPI,QUA SYM,SPHENO,TRA DEN,TRI ARC
Swindles,N. Ireland,Slieveanorra,SL31,55.0728,-6.2108,-10,4.1,27.1,0,0,0,0,3.3,44.4,0,5.3,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,13.9,0.7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swindles,N. Ireland,Moninea,MO9,54.1417,-7.5425,-9,4.2,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.1,0,0,0,0,0,0,0,0,51.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turner,England,Swarth Moor,SM116,54.1214,-2.2975,-8,5,5.9,0,5.9,11.2,0,0,0,0,3.9,0,0,0.7,2,0,1.3,0,0,5.3,2.6,0,0,0,17.1,13.8,23,0,1.3,0,0,0,0,0,2,0,0,0.7,0,0,1.3,0,0,0,0,0,0,0,0
Swindles,N. Ireland,Moninea,MO16,54.1417,-7.5425,-7,3.7,56.3,0,3,0,0,0,6.7,0,0.6,0,0,0,0,0,0,0,0,5.4,2.4,0,0,0,2.4,12.1,0.6,0,0,0,0,0,1.2,0,4.2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Turner,England,Fleet Moss,FM141,54.2464,-2.2094,-7,4.7,12.5,0,0,0,0,0,0,0,0.7,0,0,1.3,0,0,1.3,0,0,11.8,4.6,0,0,0,1.3,34.2,1.3,0,0,0,0,0,0,0,12.5,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0
Swindles/Turner,Sweden,Stordalen,S38,68.3563,19.0477,-5,3.1,0,2.5,0,0,0,0,45.9,0,2.5,0,0,0,0,0,0,0,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,31.1,0,0,0,0,0,0,0,12.3,0,0,0,0,0,0,0,0
Lamentowicz,Poland,Czarci Staw,CZS12,53.3797,17.0759,-5,5.2,0,5.3,0.8,3,0,0,0,0.8,4.5,0,0,2.3,2.3,0,7.6,0,0,3.8,0,0,0,0,0.8,0,3,3.8,0.8,3.8,0,0,1.5,0,0,0.8,0,0,0,0,12.1,0,0,0,0,17.4,0,25,0
Swindles/Turner,Sweden,Stordalen,S37,68.3563,19.0477,-5,3.1,0,0,4.4,0,0,0,46,0,9.7,0,0,0,0,0,0,0,0,37.2,0,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swindles/Turner,Sweden,Stordalen,S39,68.3563,19.0477,-5,3.1,0,0,5.3,0,0,0,41.6,0,0,0,0,0,0,0,0,0,0,19.5,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,10.6,0,0,0,0
Swindles/Turner,Sweden,Craterpool,P5,68.3196,19.8572,-5,4.3,0,1.7,6.1,0,0,0,57.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,4.3,0.9,0,0,7.8,0,0,18.3,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0
Swindles,N. Ireland,Moninea,MO15,54.1417,-7.5425,-5,3.8,21.5,0,0.6,0,0,0,32.3,0,1.9,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,26.5,0.6,0,0,0,0,0,11.4,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turner,England,Swarth Moor,SM103,54.1214,-2.2975,-5,4.7,3.9,0,5.9,13.2,0,0,0,0,0,0,0,0.7,0.7,0,0,0,0,22.4,3.3,0,0,0,9.9,24.3,2,0,0,1.3,0,0,0,0,3.3,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0
Bobrov,Russia,Staroselia,STAR_8,56.4666,33.05,-5,4,7.5,0.9,2.2,0,0,31.4,3.1,0,0,0,0,0,0,0,0,0,0.3,17.6,15.1,0,0,0.9,0,4.4,0,0,4.1,0,0,0,1.9,0,8.2,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0
Lamentowicz,Poland,Ku?nik,K 05,53.6965,17.8974,-4,5.4,1.8,0,0,0,0,0,10.4,0,2.3,1.4,0.5,0,0,0,0,0,0,0,0,0,0,0.9,0,0,2.7,0,21.6,0,2.3,9,35.1,0,0,0,0,0,0,0,12.2,0,0,0,0,0,0,0,0
Swindles/Turner,Sweden,Stordalen,S16,68.3563,19.0477,-4,3.7,0,0,6.3,0,0,0,44.6,0,0.6,0.6,0,0,0,0,0.6,0.6,0.6,32.6,0,0,0,0,0.6,0,0.6,0.6,0,0,0,0,10.3,0,0,0,0,0.6,0,0,1.1,0,0,0,0,0,0,0,0
Warner,Finland,Lakkasuo,BF-61 (LK),61.7833,24.2943,-4,3.9,0,0,0,0,1.5,0,51.1,0,1.5,0,0,0,0,0,1.5,0,0,9,0,0,0,0,0,0,21.1,0,2.3,0,0,0.8,1.5,0,6,1.5,0,0,0,0,0,0,0,1.5,0.8,0,0,0,0
Swindles,N. Ireland,Moninea,MO30,54.1417,-7.5425,-4,3.9,67.1,0,0,0,0,0,31.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turner,England,Fleet Moss,FM119,54.2464,-2.2094,-4,4.6,0,0,2.3,0,0,0,0,1.1,4,1.7,0,0.6,0,0,1.7,0,0,0,36.9,0,0,0,1.1,0.6,23.9,0,0,0,0,0,0,1.1,0,0,2.3,0,0,0,22.7,0,0,0,0,0,0,0,0
Swindles,N. Ireland,Moninea,MO20,54.1417,-7.5425,-4,4.1,94.2,0,1.3,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swindles/Turner,Sweden,Stordalen,S21,68.3563,19.0477,-3,3.8,0,0,27.1,0,0.5,0,0,0,21.3,12.2,0,0,0,0,10.1,0.5,1.6,1.6,0,0,0,0,1.1,0,9,11.2,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,2.7,0,0,0,0,0
Swindles/Turner,Sweden,Railway,R7,68.0869,19.8311,-3,3.5,0,0,2.8,0,0,0,19.4,0,0,0,0,0.9,0,0,0,0,0,61.1,0,0,0,0,0.9,0,0,0,0,0,0,6.5,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swindles/Turner,Sweden,Instrument,I6,68.0312,19.7656,-3,3.6,0,0,3.1,0,0,0,48.9,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0,3.1,13.7,0,0,0,0,0,0,0,0,0,0,0,19.8,0,0,0,0
Swindles,N. Ireland,Dead Island,DI29,54.8875,-6.5475,-3,3.1,14.6,0,6.3,0,0,0,55.1,0,3.8,0,0,0,0,0,3.8,0,0,1.3,0,0,0,0,2.5,0,7.6,0,0,0,0,0,0,0,3.8,0,0.6,0,0,0,0.6,0,0,0,0,0,0,0,0
Lamentowicz,Poland,Jelenia Wyspa,JEL12,53.6077,17.956,-3,3.9,26,0,2,0,0,2,17.5,0,2.5,1,0,0,0,0,0.5,0,0,10,0,0,0,8.5,4,0,1,0,1,0,0,6,9,0,1.5,0,0,0,0,0,3.5,0,0,2,0,0,0,0,2
Turner,England,Thornton Moor,ThM202,54.0964,-2.175,-3,4.9,0,31.3,0,0,0,0,0,2.7,2,0.7,0,8,0,0,0,0,0,2,2,0,0,0,0,32,7.3,0,0,2.7,0,0,4,0,0,0,0,0.7,0,0.7,2.7,0,0,0,1.3,0,0,0,0
Swindles,N. Ireland,Slieveanorra,SL15,55.0728,-6.2108,-3,4,47.6,0,0,0,0,0,11.6,0,20.1,1.2,0,6.1,0,0,0,0,0,0,0,0,0,0,1.8,0,7.3,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,1.8,0,0,0,0,0
Turner,England,Swarth Moor,SM108,54.1214,-2.2975,-3,4.2,27.8,0,0,0,0,0,0,0,1.3,0,0,7.3,0.7,0,0,0,0,15.2,0,0,0,0,4,14.6,14.6,0,4,0,3.3,0,0,0,1.3,0,0,0,0,0,3.3,0,0,0.7,0,0,0,0,0
Charman,Ireland,Ballyduff Bog,IR 18,53.0807,-7.9925,-3,4.1,17.3,0,0,0,0,0,4.7,0.7,12,0,0,0.7,0,0,0.7,0,0,0.7,3.3,0,0,31.3,2,0,2.7,2.7,4,0,0.7,0.7,0,0,12,0,0,0.7,0,0,0,0,0,3.3,0,0,0,0,0
Warner,Finland,Kaurastensuo,BF-05 (KS),61.0319,24.9839,-2.5,3.7,0,0,0,0,4.6,0,14.6,0,0.8,2.3,0,0,0,0,0,0,0,4.6,0,0,0,33.1,0,0,0,2.3,6.9,0,0,0.8,17.7,0,1.5,0,0,0,0,0,0,0,0,3.8,6.9,0,0,0,0
Swindles/Turner,Sweden,Stordalen,S15,68.3563,19.0477,-2,3.8,0,0,6.5,0,0,5.4,2.2,0,19.5,2.2,0,0,0.5,0,8.6,0,1.1,4.3,0,0,0,0,6.5,0,16.8,8.1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1.1,16.8,0,0,0,0
Lamentowicz,Poland,Ku?nik,K 31,53.6965,17.8974,-2,4.3,0,0,0,0,0.6,0,22.2,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,4.2,0,0,0,2.4,3.6,17.4,35.9,0,1.8,0,0,0,0,6.6,1.8,1.2,0,0,0,0,0,0
Swindles/Turner,Sweden,Stordalen,S23,68.3563,19.0477,-2,3.8,0,0,1.1,1.1,0,0,11.6,0,0.5,0,0,0,0,0,3.2,0,0.5,7.9,0,0,0,0,1.6,0,1.1,3.2,0,0,0,0,39.7,0,0,0,0,0,0,0,1.1,0,0,0,27.5,0,0,0,0
Swindles/Turner,Sweden,Craterpool,P7,68.3196,19.8572,-2,4.4,0,0,9.4,0,0,0,67,0,0,0,0,0,0,0,0,0,0,20.8,0,0,0,0,0,0.9,0,0.9,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warner,Finland,Kaurastensuo,BF-06 (KS),61.0319,24.9839,-2,3.8,0,3.7,8.5,0,0,0,28,0,1.2,8.5,0,0,0,0,0,0,0,8.5,0,0,0,9.8,0,0,0,0,0,0,0,6.1,6.1,0,0,2.4,0,0,0,0,0,0,0,0,17.1,0,0,0,0
Swindles,N. Ireland,Slieveanorra,SL14,55.0728,-6.2108,-2,3.9,45.7,0,5.2,0,0,0,39.9,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bobrov,Russia,Gulnovsky Moch,GUL_1,56.4666,33.05,-2,4,0,0.3,9,0,0,0.3,2.1,0,0.3,0,0,0.3,0,0,0,0,0,57.2,9.3,0,0,0.3,0,10.2,0,0,6.6,0,0,0,1.2,0,2.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Mazei,Russia,Karelia-26,k-2-5,66.5238,32.9097,-1,4.6,0,6.8,0.5,0,0,1,16.4,0,0.5,0,0,0,0,0,0,0,0,10.2,0,0,0,0,0,1.3,1.1,0,1.1,0,0,3.3,56.4,0,0.6,0.5,0,0,0,0.3,0,0,0,0,0,0,0,0,0
Swindles/Turner,Sweden,Stordalen,S20,68.3563,19.0477,-1,3.8,1.1,1.1,2.2,0,0,0,14.5,0,0.5,0,0,0.5,0.5,0,1.6,0,0,8.1,0,0,0,0,0,0,7.5,12.9,0,0,0,0,16.7,0,0,0,0,0,0.5,0,1.1,0,0,0,31.2,0,0,0,0
Mazei,Russia,Karelia-25,k-2-4,66.5238,32.9097,-1,4.7,0,1.6,0,0,0,6,14.4,0,2.2,0,0,0,0,0,0,0,0,57.1,0,0.7,0,0,0,2.5,3.6,1.1,0,0,0,0.6,5.3,0,1.6,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0
Swindles/Turner,Sweden,Nikka,N6,67.8671,19.1778,-1,4,0,0,35.3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,53.9,0,0,0,0,0,0,0,0,0,0,0,0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mazei,Russia,Karelia-24,k-2-3,66.5238,32.9097,-1,4.6,0,3.3,0,0,0,13.5,8.6,0,0,0,0,0,0,0,0,0,0,38.3,0,0,0,0,0,0,1.5,0,3.8,0,0,0,21.5,0,7.5,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0
Swindles,N. Ireland,Dead Island,DI22,54.8875,-6.5475,-1,3.2,11.2,0,5.6,0,0,0,2.3,0,13.5,0.9,0,0,0,0,0.5,1.4,0,2.3,0,0,0,0,14.9,0,20.1,4.2,1.9,0,0.9,0,0,0,10.7,0,4.7,0,0,0,2.3,0,0,0.5,0,0,0,0,0
Swindles/Turner,Sweden,Stordalen,S26,68.3563,19.0477,-1,3.5,0,0,17,0,37.4,0,13.5,0,2.3,0,1.8,0,0,0,1.8,0,2.9,5.3,0,0,0,0,1.2,0,11.1,1.8,0,0,0,0,0.6,0,0,1.8,0,0.6,0,0,1.2,0,0,0,0,0,0,0,0
Swindles/Turner,Sweden,Marooned,M1,67.9566,19.9865,-1,4.2,1.9,0,0,0,0,0,9.5,0,1.9,0,0,6.7,0,0,0,0,0,16.2,0,0,0,0,0,24.8,0,0,0,0,0,0,11.4,0,23.8,0,0,0,0,0,0,1.9,0,0,1.9,0,0,0,0
Lamentowicz,Poland,Mechacz,MECH11,54.3307,22.4422,0,NA,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,3.3,4.4,0,0,36.3,38.5,0,0,0,0,3.3,0,0,2.2,0,0,3.3,0,0,0,0,0
Turner,England,Thornton Moor,ThM206,54.0964,-2.175,0,4.4,0,0,6.5,0,0,0,0,1.8,1.8,7.7,0,3,0,0,2.4,0,0,0,0,0,0,0,1.8,0,18.3,0,0,0.6,1.2,0,13,0,0,0,2.4,0,0,0,29,0,0,6.5,4.1,0,0,0,0
Lamentowicz,Poland,Mechacz,MECH8,54.3307,22.4422,0,NA,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,4.3,0,17.4,0,0,21.7,47.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lamentowicz,Poland,Mechacz,MECH9,54.3307,22.4422,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9,0,0,0,0,0,0,0,0,0,71.2,0,0,3.4,1.7,0,0,0,0,0,0,0,1.7,0,0,5.1,0,0,0,0,0
Lamentowicz,Poland,Kozie,KOZ10,53.6965,17.8974,0,4.3,0,0,1.3,0,0,0,10.4,0,3.2,0,0,0.6,0,0,0,0,0,33.8,0,0,0,0,0,0,4.5,0,1.3,0,0,1.3,43.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charman,Faroe Is.,Masaklettar,FO 6,62.1665,-6.9,0,NA,2.6,0,0,0,0,0,0,1.3,22.4,0,0,0,11.2,0,7.9,0,0,10.5,2,0,0,0,8.6,0.7,21.1,2.6,2,0,0,0,0,0,0.7,0,0.7,0,0,0,2,2.6,0,0,0,0,0.7,0,0
Mazei,Russia,Borok-3,b-2-2,58.0845,38.2147,0,4.5,0,8.9,0,13.6,1.1,0.9,6.5,0,2.5,0,0,0,2.3,0,5,0,0,15.8,0,0,0,0,0,0,15.3,2.1,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
Charman,Germany,Bissendorfer Moor,DM 2,52.5037,9.6811,0,NA,0,0,20.9,0,0,0,0,0,0,0,0.7,0,0,0,2,0,0,20.3,0,0,0,1.3,0,0,47.1,0.7,0,0,0,0,0.7,5.2,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0
Mallon,Sweden,South,S11_2,57.1139,12.7811,0,4,0,0,1.3,0,0,0,0,0,20.5,5.1,0,0,1.9,0,5.8,0,0,5.1,0,0,0,1.3,0,5.1,19.2,5.8,1.9,0,1.9,0.6,0.6,0.6,2.6,0,3.2,0,2.6,0,7.7,0,0,4.5,0.6,0,0,0,0
Swindles/Turner,Sweden,Electric,L1,67.8656,19.3683,0,4.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,86.3,0,0,0,0,0,2.9,0,0,0,0,0,1,4.9,0,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0
Mazei,Russia,Karelia-18,k-2-1,66.5238,32.9097,0,4,0,4.5,0,0,0,0,30.6,0,0,0,0,0.2,0,0,0,0,0,18.4,0,0,0,0,0,0.1,0,0,0.3,0,0,7.2,35.8,0,0.3,2.1,0,0,0,0,0.2,0,0,0,0.2,0,0,0,0
Mallon,Sweden,North,N1_15,59.8625,12.3247,0,3.8,0,0,0.5,0,0,0,47.5,0,1.6,1.6,0,0,0,0,0,0,0,6,0,0,0,0.5,0.5,0,18,0,1.1,0,0,4.9,13.7,0,0.5,0,0,0.5,0,0,1.1,0,0,0.5,0.5,0,0,0,0
Lamentowicz,Poland,Ku?nik,K 25,53.6965,17.8974,0,4.8,0,0.5,0.5,1.5,0,0,0,1.5,1.5,0,0,12.1,3.5,0,0.5,0,0,1,0,0,0,0,1,0,1.5,1,0,4,0,0,18.2,0,0,2,0,0,0,15.2,1,0,0,0,0,0,11.6,15.2,0
Swindles/Turner,Sweden,Instrument,I1,68.0312,19.7656,0,3.7,0.9,4.3,0,0,0,0,66.1,0,0.9,0,0,0,0,0,0,0,0,6.1,0,0,0,0,0.9,0,1.7,1.7,0,0,0,0,9.6,0,0,0,0,1.7,0,0,3.5,0,0,0,2.6,0,0,0,0
Mallon,Sweden,Gallseredsmossen,GAL_5,57.175,12.5975,0,3.7,0,0,0.6,0,0,0,28,0,1.2,0.6,0,0,0,0,0,0,0,27.3,0,0,0,3.1,0,1.9,1.9,0,32.9,0,0.6,0.6,0,0.6,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0
Charman,Germany,Bissendorfer Moor,DM 1,52.5037,9.6811,0,NA,0,0,30.5,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,25.8,0,0,0,3.3,0,0,17.2,2,0,0,0,0,15.2,3.3,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0.7
Charman,Finland,Kontolanrahka,FI 18,60.7837,22.7874,0,NA,0,0,5.6,0,0,0,37.4,0,0,0.5,0,0,0,0,0,0,0,16.8,0,0,0,3.3,0,0,12.1,0,10.3,0,0,0.5,9.3,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0
Charman,Finland,Kontolanrahka,FI 12,60.7837,22.7874,0,NA,0.6,0,3.6,0,0,0,19.9,0,0,0,1.2,0,0,0,0,0,0,27.1,0,0,0,6.6,0,0,14.5,0,7.8,0,0,0.6,14.5,0,0,0,0,0,0,0,1.2,0,0,1.2,0,0,0,0,1.2
Swindles/Turner,Sweden,Nikka,N2,67.8671,19.1778,0,4.5,0,0,6.5,0,0,0,33.3,0,0,0,0,1.9,0,0,0,0,0,16.7,0,0,0,0,0,1.9,8.3,0,0,0,0,0.9,8.3,0,0,0,0,0,0,0,0,0,0,0,22.2,0,0,0,0
Mallon,Sweden,South,S7_6,57.1725,12.7125,0,4.2,0,0,19.3,0,0,0,6,0,2,2.7,0,0,0,0,1.3,0,0,2.7,0,0,0,7.3,0.7,2,41.3,0,0.7,0.7,0,1.3,0,0,0,0,2,0.7,0.7,0,8,0,0,0,0,0,0,0.7,0
Lamentowicz,Switzerland,Lej de Staz,45,46.4972,9.8694,0,5.3,0,0,2.4,1,0,0,0,8.6,0.5,0,0,7.7,15.3,0.5,8.6,0,0,1,0,0,0,0,0.5,0.5,4.3,2.4,1,0.5,0,0,0,0,3.3,0.5,0,0,0,10.5,0,0,0,0,0,5.7,6.2,0,0
Mallon,Sweden,Gallseredsmossen,GAL_1,57.175,12.5975,0,3.5,0,0,0,0,0,0,56,0,6,5.3,0,0,0,0,0,0,0,1.3,0,0,0,1.3,0,0,15.3,0,0.7,0,0.7,4,0,0,4.7,0,0,0,1.3,0,1.3,0,0,0,0,0,0,0,0
Lamentowicz,Switzerland,Maloja Fen,96,46.4053,9.69,0,3.8,0,0,0,0,0.6,0,74.2,0,3.1,4.9,0,0,0,0,1.8,0,0,0,0,0,0,1.2,0,0.6,1.2,0,0,0,0,0,5.5,0,1.2,0,0,0,0,0.6,4.9,0,0,0,0,0,0,0,0
Swindles/Turner,Sweden,Stordalen,S22,68.3563,19.0477,0,3.8,0,1.3,19.9,0,1.9,0,16.7,0,0,0,0,0,0,0,1.9,0,0,9,0,0,0,0,1.3,0.6,2.6,0,0,0,0,0,20.5,0,0,0,0,0,0,0,0,0,0,0,24.4,0,0,0,0
Mallon,Sweden,South,S3_5,57.1747,12.6342,0,4.2,0,0,1.2,0,0,0,21.7,0,10.2,5.4,0,0,0,0,0.6,0,0,0,0,0,0,10.8,0,0,14.5,0.6,0.6,0,0,4.2,13.3,0,2.4,0,0,0,0,0,13.3,0,0,0,0,0,0,0,0
Turner,England,Thornton Moor,ThM180,54.0964,-2.175,0,5.3,0,2.4,0,0,0,0,0,18.3,0,0,0,4.9,5.5,0,9.1,0,4.9,6.1,0,0,0,0,0.6,13.4,3,3.7,0,1.2,0,0,0,0,0,0,0.6,0,0,3,17.1,0,0,0,0,1.8,0,2.4,0
Charman,Germany,Bissendorfer Moor,DM 13,52.5037,9.6811,0,NA,0,0,59.6,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,2,0,0,0,0,0.7,0,29.1,6,0,0,0,0,0.7,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charman,Germany,Bissendorfer Moor,DM 14,52.5037,9.6811,0,NA,0,0,60.7,0,0,0,0,0,0,0,0,0,0,0,14.7,0,0,0.7,0,0,0,1.3,1.3,0,18,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mallon,Sweden,North,N1_13,59.8625,12.3247,0,3.8,0,0,0,0,0,0,55.8,0,0.6,0.6,0,0,0,0,0,0,0,6.5,0,0,0,3.2,0,0.6,0,0,1.9,0,0,5.2,13.6,0,1.3,0.6,0,0,0.6,0,0,0,0,5.8,1.3,0,0,0,0
Mallon,Sweden,Kortlandamossen,KOR_4,59.8483,12.2867,0,4,0,0,0.7,0,1.3,0,44.4,0,2,0.7,0,0,0,0,0,2.6,0,9.8,0.7,0,0,3.3,2,0.7,2.6,0,4.6,0,0,9.2,8.5,0,0.7,0,0,0,0,0,0.7,0,0,3.9,0,0,0,0,0
Warner,Finland,Kaurastensuo,BF-16 (KS),61.0319,24.9839,0,3.8,5.2,0,13.5,0,0,0,15.6,0,0,0,0,0,1,0,0,0,0,33.3,0,0,0,3.1,0,0,0,0,8.3,0,0,0,14.6,0,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,0
Charman,Faroe Is.,Masaklettar,F0 12,62.1665,-6.9,0,NA,5.8,0,0,0,0,0,0,7.1,5.2,0,0,0,11,0,7.1,3.9,0,3.9,2.6,0,0,0,20.8,2.6,19.5,4.5,0,0.6,0.6,0,0,0,1.3,0,0,0,0,0,1.9,0,0,0,0,0,1.3,0,0
Mallon,Sweden,North,N1_12,59.8625,12.3247,0,4.2,0,0,13.5,0,1.8,0,35.9,0,1.2,0.6,0,0,0,0,0,0,0,5.9,0,0,0,1.8,0,0,4.1,5.3,2.4,0,0,13.5,7.6,0,2.4,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0
Charman,Germany,Bissendorfer Moor,DM 8,52.5037,9.6811,0,NA,0,0,56.4,0,0,0,0,0,0.6,0.6,0.6,0,0,0,5.1,0,0,5.1,0,0,0,2.6,0,0,16.7,3.8,0,0,0,0,0,1.3,0,0,0,0,0,0,7.1,0,0,0,0,0,0,0,0
Charman,Germany,Bissendorfer Moor,DM 3,52.5037,9.6811,0,NA,0,0,71.1,0,0,0,0,0,0,0,0,0,0,0,17.1,0,0,0,0,0,0,0,0,0,5.3,4.6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charman,Germany,Bissendorfer Moor,DM 7,52.5037,9.6811,0,NA,0,0,40.7,0,0,0,0,0,0.7,0,0,0,1.3,0,0.7,0,0,10.7,2,0,0,1.3,0,0,35.3,0.7,0,0,0,0,2.7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charman,Estonia,Mannikjarve,ES 18,58.8752,26.2479,0,NA,7.1,0,2.6,0,0,0,32.7,0,2.6,0,0,0,0,0,0.6,0.6,0,1.9,0,0,0,5.1,0,0.6,30.8,0,0,0,0,11.5,0.6,0,0,0,0,0.6,1.9,0,0,0,0,0,0,0,0,0,0.6
Mallon,Sweden,Gallseredsmossen,GAL_6,57.175,12.5975,0,3.8,0,0,11,0.6,0,0,3.5,0,2.9,4.1,0,0,0,0,2.3,0,0,3.5,0,0,0,9.9,0,3.5,25,0,0.6,0,1.2,1.7,0,0,0,0,1.2,2.9,0,0,2.9,0,0,23.3,0,0,0,0,0
Swindles/Turner,Sweden,Marooned,M7,67.9566,19.9865,0,3.7,0,0,0,0,0,0,54.5,0,0,0,0,14.5,0,0,0,0,0,1.8,0,0,0,0,0,0,0,1.8,0,0,0,0,9.1,0,7.3,0,0,0,0,0,10,0.9,0,0,0,0,0,0,0
Mallon,Sweden,North,N3_7,59.8542,12.3031,0,4.1,2.8,1.1,3.3,0,2.8,0,47,0,3.3,1.1,0,0,0,0,1.1,0,0,9.4,0,0,0,1.7,0,0.6,0.6,0,4.4,0,0,6.6,8.8,0,0.6,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0
Mazei,Russia,Penza-1,p-1-1,52.9325,46.5031,0,5.2,0,3.4,0,1.9,0,66.1,1.1,0,0,0,0,3.9,0,0.2,0,0,0,12.3,0,0,0,0,0,3,0,0,0.1,0,0.1,0,1.9,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
Mallon,Sweden,North,N4_7,59.8753,12.2914,0,4.1,0,0,21.7,0,0,0,60.5,0,0.6,0,0,0,0,0,0.6,0,0,0,0,0,0,2.5,0,1.3,4.5,0,0.6,0,0,0.6,1.9,0,0,0,1.3,0,0.6,0,3.2,0,0,0,0,0,0,0,0
Mallon,Sweden,North,N1_8,59.8625,12.3247,0,4,0,0,0,0,0,0,62.3,0,0.6,1.9,0,0,0,0,0,0,0,3.2,0.6,0,0,3.9,0.6,2.6,1.9,0,1.3,0,0,5.8,9.1,0,0.6,0,0,1.3,0,0,0.6,0,0,3.2,0,0,0,0,0
Lamentowicz,Switzerland,Mauntschas,12,46.4575,9.8561,0,5.4,0,0,8.9,1.9,0,1.3,0,6.4,0.6,0,0,8.9,17.8,0,3.8,0.6,0,1.3,0,0,0,0,1.9,1.3,0.6,0,1.3,1.3,0,0,0,0,7.6,12.1,0,0,0,3.2,0.6,0,0,0,0,0.6,5.1,5.1,0
